Country,City,Subdivision,lat,lng
Finland,Helsinki,Puistola,60.2760327,25.036777
Finland,Helsinki,Pukinmäki,60.245247,24.9896936
Finland,Helsinki,Suutarila,60.283019,25.0064817
Finland,Helsinki,Taka-Töölö,60.1853441,24.9167329
Finland,Helsinki,Tuomarinkylä,60.2572811,24.9680161
Finland,Helsinki,Ullanlinna,60.1587146,24.949404
Finland,Helsinki,Vallila,60.1961671,24.9567103
Finland,Helsinki,Vanhakaupunki,60.2141157,24.9791849
Finland,Helsinki,Vartiokylä,60.2119555,25.0814407
Finland,Helsinki,Vuosaari,60.2083483,25.1435537
France,Paris,Paris 10e Arrondissement,48.87600805,2.360445036
France,Paris,Paris 11e Arrondissement,48.86007115,2.378143362
France,Paris,Paris 12e Arrondissement,48.83520025,2.445135855
France,Paris,Paris 13e Arrondissement,48.82985295,2.36302595
France,Paris,Paris 14e Arrondissement,48.8295667,2.323962464
France,Paris,Paris 15e Arrondissement,48.8414302,2.296164933
France,Paris,Paris 16e Arrondissement,48.85715055,2.256731189
France,Paris,Paris 17e Arrondissement,48.88743895,2.306522868
France,Paris,Paris 18e Arrondissement,48.89212585,2.348177545
France,Paris,Paris 19e Arrondissement,48.88721865,2.38310263
France,Paris,Paris 1er Arrondissement,48.8621576,2.337035644
France,Paris,Paris 20e Arrondissement,48.8618271,2.40107306
France,Paris,Paris 2e Arrondissement,48.8676844,2.343126295
France,Paris,Paris 3e Arrondissement,48.86268345,2.358685104
France,Paris,Paris 4e Arrondissement,48.85415595,2.356789229
France,Paris,Paris 5e Arrondissement,48.8454189,2.352581526
France,Paris,Paris 6e Arrondissement,48.8493919,2.332259734
France,Paris,Paris 7e Arrondissement,48.85491365,2.31285974
France,Paris,Paris 8e Arrondissement,48.8732651,2.311161753
France,Paris,Paris 9e Arrondissement,48.87706995,2.337921285
Germany,Berlin,Berlin-Mitte,52.53321645,13.35979566
Germany,Berlin,Charlottenburg - Wilmersdorf,52.5078558,13.2639518
Germany,Berlin,Friedrichshain - Kreuzberg,52.5153063,13.4616117
Germany,Berlin,Lichtenberg,52.5321606,13.5118927
Germany,Berlin,Marzahn - Hellersdorf,52.5225225,13.5876634
Germany,Berlin,Neukölln,52.4811497,13.4353501
Germany,Berlin,Pankow,52.5976367,13.43637398
Germany,Berlin,Reinickendorf,52.6047631,13.2952872
Germany,Berlin,Spandau,52.535788,13.1977924
Germany,Berlin,Steglitz - Zehlendorf,52.4292052,13.2299741
Germany,Berlin,Tempelhof - Schöneberg,52.4406033,13.3737035
Germany,Berlin,Treptow - Köpenick,52.417893,13.6001848
Greece,Athens,Exarchia,37.9852539,23.7395109
