Coutry;City;Borough;Neighbourhood;Area;Population;Density
Sweden;Stockholm;Rinkeby-Kista;;;48,828;#DIV/0!
Sweden;Stockholm;Skärholmen;;8.86;33,662;3,799
Sweden;Stockholm;Skarpnäck;;15.66;45,340;2,895
Sweden;Stockholm;Södermalm;;;126,736;#DIV/0!
Sweden;Stockholm;Spånga-Tensta;;12.85;39,082;3,041
Portugal;Lisbon;;;;;#DIV/0!
Czech Republic;Prague;Prague 1;;5.53;34,581;6,253
Czech Republic;Prague;Prague 2;;4.19;51,003;12,173
Czech Republic;Prague;Prague 3;;6.49;72,840;11,223
Czech Republic;Prague;Prague 4;;24.19;131,597;5,440
Czech Republic;Prague;Prague 5;;27.5;77,170;2,806
Czech Republic;Prague;Prague 6;;41.54;101,252;2,437
Czech Republic;Prague;Prague 7;;7.10;40,839;5,752
Czech Republic;Prague;Prague 8;;21.80;102,761;4,714
Czech Republic;Prague;Prague 9;;13.31;41,863;3,145
Czech Republic;Prague;Prague 10;;18.60;108,609;5,839
Czech Republic;Prague;Prague 11;;9.80;81,245;8,290
Czech Republic;Prague;Prague 12;;23.31;54,856;2,353
Czech Republic;Prague;Prague 13;;13.23;52,457;3,965
Czech Republic;Prague;Prague 14;;13.53;36,778;2,718
Czech Republic;Prague;Prague 15;;10.24;27,410;2,677
Czech Republic;Prague;Prague 16;;9.31;7,089;761
Czech Republic;Prague;Prague 17;;3.26;23,252;7,133
Czech Republic;Prague;Prague 18;;5.61;14,275;2,545
Czech Republic;Prague;Prague 19;;5.99;4,592;767
Czech Republic;Prague;Prague 20;;16.95;13,036;769
Czech Republic;Prague;Prague 21;;10.15;7,116;701
Czech Republic;Prague;Prague 22;;15.61;4,629;297
Greece;Athens;;;;;#DIV/0!
Belgium;Brussels;Anderlecht;;17.7;118,241;6,680
Belgium;Brussels;Auderghem;;9;33,313;3,701
Belgium;Brussels;Berchem-Sainte-Agathe;;2.9;24,701;8,518
Belgium;Brussels;Bruxelles-Ville;;32.6;176,545;5,415
Belgium;Brussels;Etterbeek;;3.1;47,414;15,295
Belgium;Brussels;Evere;;5;40,394;8,079
Belgium;Brussels;Forest;;6.2;55,746;8,991
Belgium;Brussels;Ganshoren;;2.5;24,596;9,838
Belgium;Brussels;Ixelles;;6.3;86,244;13,690
Belgium;Brussels;Jette;;5;51,933;10,387
Belgium;Brussels;Koekelberg;;1.2;21,609;18,008
Belgium;Brussels;Molenbeek-Saint-Jean;;5.9;96,629;16,378
Belgium;Brussels;Saint-Gilles;;2.5;50,471;20,188
Belgium;Brussels;Saint-Josse-ten-Noode;;1.1;27,115;24,650
Belgium;Brussels;Schaerbeek;;8.1;133,042;16,425
Belgium;Brussels;Uccle;;22.9;82,307;3,594
Belgium;Brussels;Watermael-Boitsfort;;12.9;24,871;1,928
Belgium;Brussels;Woluwe-Saint-Lambert;;7.2;55,216;7,669
Belgium;Brussels;Woluwe-Saint-Pierre;;8.9;41,217;4,631
Netherlands;Amsterdam;Centrum;;8.04;86,422;10,749
Netherlands;Amsterdam;Noord;;49.01;94,766;1,934
Netherlands;Amsterdam;Nieuw-West;;32.38;151,677;4,684
Netherlands;Amsterdam;Oost;;30.56;135,767;4,443
Netherlands;Amsterdam;West;;9.89;143,842;14,544
Netherlands;Amsterdam;Westpoort;;10;192;19
Netherlands;Amsterdam;Zuid;;17.41;144,432;8,296
Netherlands;Amsterdam;Zuidoost;;22.08;87,854;3,979
Romania;Bucharest;Sector 1;Dorobanți, Băneasa, Aviației, Pipera, Aviatorilor, Primăverii, Romană, Victoriei, Parque Herăstrău, Bucureștii Noi, Dămăroaia, Strǎulești, Grivița, 1 Mai, Băneasa Forest, Pajura, Domenii, Chibrit;67.5;227,717.00;3,374
Romania;Bucharest;Sector 2;Pantelimon, Colentina, Iancului, Tei, Floreasca, Moșilor, Obor, Vatra Luminoasă, Fundeni, Plumbuita, Ștefan cel Mare, Baicului;32;357,338.00;11,167
Romania;Bucharest;Sector 3;Vitan, Dudești, Titan, Centrul Civic, Dristor, Lipscani, Muncii, Unirii;34;399,231.00;11,742
Romania;Bucharest;Sector 4;Berceni, Olteniței, Giurgiului, Progresul, Văcărești, Timpuri Noi, Tineretului;34;300,331.00;8,833
Romania;Bucharest;Sector 5;Rahova, Ferentari, Giurgiului, Cotroceni, 13 Septembrie, Dealul Spirii;30;288,690.00;9,623
Romania;Bucharest;Sector 6;Giulești, Crângași, Drumul Taberei, Militari, Grozăvești (também conhecido como Regie), Ghencea;38;371,060.00;9,765
Poland;Warsaw;Mokotów;;35.4;220,682;6,234
Poland;Warsaw;Praga Południe;;22.4;178,665;7,976
Poland;Warsaw;Ursynów;;48.6;145,938;3,003
Poland;Warsaw;Wola;;19.26;137,519;7,140
Poland;Warsaw;Bielany;;32.3;132,683;4,108
Poland;Warsaw;Targówek;;24.37;123,278;5,059
Poland;Warsaw;Śródmieście;;15.57;122,646;7,877
Poland;Warsaw;Bemowo;;24.95;115,873;4,644
Poland;Warsaw;Białołęka;;73.04;96,588;1,322
Poland;Warsaw;Ochota;;29.7;84,990;2,862
Poland;Warsaw;Wawer;;79.71;69,896;877
Poland;Warsaw;Praga Północ;;11.4;69,510;6,097
Poland;Warsaw;Ursus;;29.35;53,755;1,832
Poland;Warsaw;Żoliborz;;28.5;48,342;1,696
Poland;Warsaw;Włochy;;28.63;38,075;1,330
Poland;Warsaw;Wilanów;;36.73;23,960;652
Poland;Warsaw;Rembertów;;19.3;23,280;1,206
Poland;Warsaw;Wesoła;;22.6;22,811;1,009
Spain;Madrid;Centro;;5.2282;131,928;25,234
Spain;Madrid;Arganzuela;;6.4622;151,965;23,516
Spain;Madrid;Retiro;;5.4662;118,516;21,682
Spain;Madrid;Salamanca;;5.3924;143,800;26,667
Spain;Madrid;Chamartín;;9.1755;143,424;15,631
Spain;Madrid;Tetuán;;5.3747;153,789;28,614
Spain;Madrid;Chamberí;;4.6792;137,401;29,364
Spain;Madrid;Fuencarral-El Pardo;;237.8384;238,756;1,004
Spain;Madrid;Moncloa-Aravaca;;46.5311;116,903;2,512
Spain;Madrid;Latina;;25.4272;233,808;9,195
Spain;Madrid;Carabanchel;;14.0483;243,998;17,369
Spain;Madrid;Usera;;7.7777;134,791;17,330
Spain;Madrid;Puente de Vallecas;;14.9686;227,595;15,205
Spain;Madrid;Moratalaz;;6.1032;94,197;15,434
Spain;Madrid;Ciudad Lineal;;11.4257;212,529;18,601
Spain;Madrid;Hortaleza;;27.4198;180,462;6,581
Spain;Madrid;Villaverde;;20.1876;142,608;7,064
Spain;Madrid;Villa de Vallecas;;51.4672;104,421;2,029
Spain;Madrid;Vicálvaro;;35.2667;70,051;1,986
Spain;Madrid;San Blas-Canillejas;;22.2924;154,357;6,924
Spain;Madrid;Barajas;;41.9228;46,876;1,118
Italy;Rome;;;;;#DIV/0!
United Kingdom;London;Barking and Dagenham;;36.09;211,998;5,874
United Kingdom;London;Barnet;;86.74;392,140;4,521
United Kingdom;London;Bexley;;60.56;247,258;4,083
United Kingdom;London;Brent;;43.24;330,795;7,650
United Kingdom;London;Bromley;;150.15;331,096;2,205
United Kingdom;London;Camden;;21.8;262,226;12,029
United Kingdom;London;City of London;;2.9;8,706;3,002
United Kingdom;London;City of Westminster;;21.48;255,324;11,887
United Kingdom;London;Croydon;;86.52;385,346;4,454
United Kingdom;London;Ealing;;55.53;341,982;6,159
United Kingdom;London;Enfield;;80.83;333,869;4,131
United Kingdom;London;Greenwich;;47.34;286,186;6,045
United Kingdom;London;Hackney;;19.06;279,665;14,673
