Coutry;City;Borough;Neighbourhood;Area;Population;Density
Germany;Berlin;Reinickendorf;Frohnau;7.8;16,828;2,157
Germany;Berlin;Reinickendorf;Heiligensee;10.66;18,072;1,695
Germany;Berlin;Reinickendorf;Hermsdorf;6.01;16,643;2,769
Germany;Berlin;Reinickendorf;Konradshöhe;2.17;6,026;2,777
Germany;Berlin;Reinickendorf;Lübars;4.99;5,185;1,039
Germany;Berlin;Reinickendorf;Märkisches Viertel;3.24;39,914;12,319
Germany;Berlin;Reinickendorf;Reinickendorf;10.44;83,294;7,978
Germany;Berlin;Reinickendorf;Tegel;33.53;36,508;1,089
Germany;Berlin;Reinickendorf;Waidmannslust;2.24;10,969;4,897
Germany;Berlin;Reinickendorf;Wittenau;5.87;24,630;4,196
Germany;Berlin;Spandau;Spandau;91.5;243,080;2,657
Germany;Berlin;Spandau;Falkenhagener Feld;6.86;38,691;5,640
Germany;Berlin;Spandau;Gatow;10.08;3,823;379
Germany;Berlin;Spandau;Hakenfelde;20.31;29,810;1,468
Germany;Berlin;Spandau;Haselhorst;4.71;15,703;3,334
Germany;Berlin;Spandau;Kladow;14.69;16,054;1,093
Germany;Berlin;Spandau;Siemensstadt;5.64;12,577;2,230
Germany;Berlin;Spandau;Spandau;7.99;39,785;4,979
Germany;Berlin;Spandau;Staaken;10.84;46,019;4,245
Germany;Berlin;Spandau;Wilhelmstadt;10.38;40,618;3,913
Germany;Berlin;Steglitz - Zehlendorf;Steglitz - Zehlendorf;102.15;308,077;3,016
Germany;Berlin;Steglitz - Zehlendorf;Dahlem;8.36;16,754;2,004
Germany;Berlin;Steglitz - Zehlendorf;Lankwitz;6.97;43,114;6,186
Germany;Berlin;Steglitz - Zehlendorf;Lichterfelde;18.15;85,465;4,709
Germany;Berlin;Steglitz - Zehlendorf;Nikolassee;19.53;16,662;853
Germany;Berlin;Steglitz - Zehlendorf;Steglitz;6.76;75,320;11,142
Germany;Berlin;Steglitz - Zehlendorf;Wannsee;23.61;10,246;434
Germany;Berlin;Steglitz - Zehlendorf;Zehlendorf;18.76;60,516;3,226
Germany;Berlin;Tempelhof - Schöneberg;Tempelhof - Schöneberg;52.91;351,429;6,642
Germany;Berlin;Tempelhof - Schöneberg;Friedenau;1.65;28,353;17,184
Germany;Berlin;Tempelhof - Schöneberg;Lichtenrade;10.01;51,587;5,154
Germany;Berlin;Tempelhof - Schöneberg;Mariendorf;9.35;52,710;5,637
Germany;Berlin;Tempelhof - Schöneberg;Marienfelde;9.1;32,364;3,556
Germany;Berlin;Tempelhof - Schöneberg;Schöneberg;10.6;123,555;11,656
Germany;Berlin;Tempelhof - Schöneberg;Tempelhof;12.2;62,860;5,152
Germany;Berlin;Treptow - Köpenick;Treptow - Köpenick;167.11;269,775;1,614
Germany;Berlin;Treptow - Köpenick;Adlershof;6.09;19,568;3,213
Germany;Berlin;Treptow - Köpenick;Altglienicke;7.86;28,470;3,622
Germany;Berlin;Treptow - Köpenick;Alt-Treptow;2.3;12,540;5,452
Germany;Berlin;Treptow - Köpenick;Baumschulenweg;4.8;18,562;3,867
Germany;Berlin;Treptow - Köpenick;Bohnsdorf;6.49;11,692;1,802
Germany;Berlin;Treptow - Köpenick;Friedrichshagen;13.98;19,054;1,363
Germany;Berlin;Treptow - Köpenick;Grünau;9.1;6,530;718
Germany;Berlin;Treptow - Köpenick;Johannisthal;6.52;19,939;3,058
Germany;Berlin;Treptow - Köpenick;Köpenick;34.77;65,770;1,892
Germany;Berlin;Treptow - Köpenick;Müggelheim;22.11;6,755;306
Germany;Berlin;Treptow - Köpenick;Niederschöneweide;3.48;12,557;3,608
