Country,City,Subdivision,lat,lng
Czech Republic,Prague,Prague 2,50.0874654,14.4212535
Czech Republic,Prague,Prague 20,50.0874654,14.4212535
Czech Republic,Prague,Prague 21,50.0874654,14.4212535
Czech Republic,Prague,Prague 22,50.0874654,14.4212535
Czech Republic,Prague,Prague 3,50.0874654,14.4212535
Czech Republic,Prague,Prague 4,50.0874654,14.4212535
Czech Republic,Prague,Prague 5,50.0874654,14.4212535
Czech Republic,Prague,Prague 6,50.0874654,14.4212535
Czech Republic,Prague,Prague 7,50.0874654,14.4212535
Czech Republic,Prague,Prague 8,50.0874654,14.4212535
Czech Republic,Prague,Prague 9,50.0874654,14.4212535
Denmark,Copenhagen,Amager East,55.62437565,12.603853037932112
Denmark,Copenhagen,Amager West,55.62437565,12.603853037932112
Denmark,Copenhagen,Bispebjerg,55.7109502,12.5340004
Denmark,Copenhagen,Brønshøj-Husum,55.704536,12.5014454
Denmark,Copenhagen,Indre By,55.6779635,12.5697518
Denmark,Copenhagen,Nørrebro,55.6958939,12.5449561
Denmark,Copenhagen,Østerbro,55.7050841,12.5826141
Denmark,Copenhagen,Sydhavnen ,55.6552302,12.5619822
Denmark,Copenhagen,Valby,55.6618019,12.5169523
Denmark,Copenhagen,Vanløse,55.6856249,12.4888093
Denmark,Copenhagen,Vesterbro,55.6681576,12.559064
Estonia,Tallinn,Haabersti,59.42530835,24.649146615116425
Estonia,Tallinn,Kesklinn,59.41604235,24.765141294398227
Estonia,Tallinn,Kristiine,59.4138355,24.712460787099033
Estonia,Tallinn,Lasnamäe,59.4348069,24.859608735641327
Estonia,Tallinn,Mustamäe,59.4048649,24.67679263591183
Estonia,Tallinn,Nõmme,59.3732762,24.689565708963134
Estonia,Tallinn,Pirita,59.47455455,24.872632356726193
Estonia,Tallinn,Põhja-Tallinn,59.4580143,24.683527584092957
Finland,Helsinki,Alppiharju,60.189728,24.9441203
Finland,Helsinki,Haaga,60.218425800000006,24.897974367424354
Finland,Helsinki,Herttoniemi,60.1955246,25.0290632
Finland,Helsinki,Itä-Pakila,60.2453263,24.9597377
Finland,Helsinki,Jakomäki,60.2591712,25.0784439
Finland,Helsinki,Kaarela,60.2518665,24.873084563415222
Finland,Helsinki,Kallio,60.1839816,24.9524515
Finland,Helsinki,Kulosaari,60.1853879,25.0096847
Finland,Helsinki,Laajasalo,60.1732049,25.0449197
Finland,Helsinki,Länsi-Pakila,60.2435384,24.9269126
Finland,Helsinki,Latokartano,60.2278399,25.036586413377016
Finland,Helsinki,Lauttasaari,60.1593692,24.8753044
Finland,Helsinki,Malmi,60.2507611,25.0085738
Finland,Helsinki,Maunula,60.2312122,24.9325239
Finland,Helsinki,Mellunkylä,60.23596475,25.08921785102395
Finland,Helsinki,Munkkiniemi,60.1990937,24.8743585
Finland,Helsinki,Myllypuro,60.225008,25.0757356
Finland,Helsinki,Östersundom,60.25960365,25.187008478540385
Finland,Helsinki,Oulunkylä,60.2294429,24.9635828
Finland,Helsinki,Pasila,60.197873,24.9322653
Finland,Helsinki,Pitäjänmäki,60.222711,24.8643556
Finland,Helsinki,Puistola,60.2760327,25.036777
Finland,Helsinki,Pukinmäki,60.245247,24.9896936
Finland,Helsinki,Suutarila,60.283019,25.0064817
Finland,Helsinki,Taka-Töölö,60.1853441,24.9167329
Finland,Helsinki,Tuomarinkylä,60.2572811,24.9680161
Finland,Helsinki,Ullanlinna,60.1587146,24.949404
Finland,Helsinki,Vallila,60.1961671,24.9567103
Finland,Helsinki,Vanhakaupunki,60.2141157,24.9791849
Finland,Helsinki,Vartiokylä,60.2119555,25.081440702390843
Finland,Helsinki,Vuosaari,60.2083483,25.1435537
France,Paris,Paris 10e Arrondissement,48.876008049999996,2.360445036409199
France,Paris,Paris 11e Arrondissement,48.860071149999996,2.3781433620616133
France,Paris,Paris 12e Arrondissement,48.83520025,2.445135854630304
France,Paris,Paris 13e Arrondissement,48.82985295,2.3630259501036406
France,Paris,Paris 14e Arrondissement,48.8295667,2.3239624642685364
France,Paris,Paris 15e Arrondissement,48.841430200000005,2.296164933019397
France,Paris,Paris 16e Arrondissement,48.85715055,2.2567311894375015
France,Paris,Paris 17e Arrondissement,48.88743895,2.3065228678413767
France,Paris,Paris 18e Arrondissement,48.89212585,2.3481775453229785
France,Paris,Paris 19e Arrondissement,48.88721865,2.3831026295673827
France,Paris,Paris 1er Arrondissement,48.8621576,2.337035643537315
France,Paris,Paris 20e Arrondissement,48.8618271,2.4010730598176093
France,Paris,Paris 2e Arrondissement,48.8676844,2.343126295040478
France,Paris,Paris 3e Arrondissement,48.86268345,2.3586851044879937
France,Paris,Paris 4e Arrondissement,48.85415595,2.3567892289437014
France,Paris,Paris 5e Arrondissement,48.8454189,2.3525815263156975
France,Paris,Paris 6e Arrondissement,48.8493919,2.3322597335758593
France,Paris,Paris 7e Arrondissement,48.85491365,2.312859739726366
France,Paris,Paris 8e Arrondissement,48.8732651,2.311161752669828
France,Paris,Paris 9e Arrondissement,48.87706995,2.3379212854897715
Germany,Berlin,Berlin-Mitte,52.53321645,13.359795660679708
Germany,Berlin,Charlottenburg - Wilmersdorf,52.5078558,13.2639518
Germany,Berlin,Friedrichshain - Kreuzberg,52.5153063,13.4616117
Germany,Berlin,Lichtenberg,52.5321606,13.5118927
Germany,Berlin,Marzahn - Hellersdorf,52.5225225,13.5876634
Germany,Berlin,Neukölln,52.4811497,13.4353501
Germany,Berlin,Pankow,52.597636699999995,13.436373975411648
Germany,Berlin,Reinickendorf,52.6047631,13.2952872
Germany,Berlin,Spandau,52.535788,13.1977924
Germany,Berlin,Steglitz - Zehlendorf,52.4292052,13.2299741
Germany,Berlin,Tempelhof - Schöneberg,52.4406033,13.3737035
Germany,Berlin,Treptow - Köpenick,52.417893,13.6001848
Greece,Athens,Exarchia,37.9852539,23.7395109
Greece,Athens,Gazi,37.97481315,23.702751202560243
Greece,Athens,Kolonaki,37.9769749,23.7408135
Greece,Athens,Makrigianni,38.0509945,23.8331268
Greece,Athens,Omonia Square,37.983945,23.7279215
Greece,Athens,Plaka,37.9728505,23.7300556
Greece,Athens,Thissio,37.9740677,23.7199605
Hungary,Budapest,District I,47.4983815,19.0404707
Hungary,Budapest,District II,47.5686915,19.027668183360795
Hungary,Budapest,District III,47.5686915,19.027668183360795
Hungary,Budapest,District IV,47.57777895,19.093163614886215
Hungary,Budapest,District IX,47.4650699,19.096752305959427
Hungary,Budapest,District V,47.47569285,19.268779648096157
Hungary,Budapest,District VI,47.50807715,19.064426195263955
Hungary,Budapest,District VII,47.5026271,19.077243325017964
Hungary,Budapest,District X,47.57777895,19.093163614886215
Hungary,Budapest,District XI,47.57777895,19.093163614886215
Hungary,Budapest,District XII,47.5048,18.982814888468894
Hungary,Budapest,District XIII,47.5368042,19.074198629461726
Hungary,Budapest,District XIV,47.52300395,19.114512673001514
Hungary,Budapest,District XIX,47.44563005,19.141509555441495
Hungary,Budapest,District XV,47.562713599999995,19.14021824045608
Hungary,Budapest,District XVI,47.51826560000001,19.20429469308958
Hungary,Budapest,District XVII,47.47569285,19.268779648096157
Hungary,Budapest,District XVIII,47.4265874,19.207279490445814
Hungary,Budapest,District XX,47.43309885,19.11880571821414
Hungary,Budapest,District XXI,47.424317,19.069213818602236
Hungary,Budapest,District XXII,47.41038385,19.000966525667373
Hungary,Budapest,District XXIII,47.38851235,19.150641924710705
Ireland,Dublin,Dublin 1,53.3524881,-6.256645689721826
Ireland,Dublin,Dublin 10,53.34321655,-6.360963597131269
Ireland,Dublin,Dublin 11,53.386613600000004,-6.292626932293775
Ireland,Dublin,Dublin 12,53.32052905,-6.3288241420909905
Ireland,Dublin,Dublin 13,53.3856513,-6.075383318320214
Ireland,Dublin,Dublin 14,53.2986473,-6.25820118261262
Ireland,Dublin,Dublin 15,53.39493455,-6.389208544937581
Ireland,Dublin,Dublin 16,53.2557218,-6.296344944223276
Ireland,Dublin,Dublin 17,53.400360750000004,-6.209491170965708
Ireland,Dublin,Dublin 18,53.24093525,-6.183345330490052
Ireland,Dublin,Dublin 19,53.3497645,-6.2602732
Ireland,Dublin,Dublin 2,53.33894015,-6.252712821759609
Ireland,Dublin,Dublin 20,53.3523699,-6.3723251372301215
Ireland,Dublin,Dublin 21,53.3340302,-6.255617739987624
Ireland,Dublin,Dublin 22,53.31701835,-6.438519072737426
Ireland,Dublin,Dublin 23,53.3340302,-6.255617739987624
Ireland,Dublin,Dublin 24,53.2479888,-6.424349898216628
Ireland,Dublin,Dublin 3,53.361223100000004,-6.1854668060000355
Ireland,Dublin,Dublin 4,53.32750729999999,-6.227485885927834
Ireland,Dublin,Dublin 5,53.3834538,-6.181923245473566
Ireland,Dublin,Dublin 6,53.3176976,-6.259525132569765
Ireland,Dublin,Dublin 7,53.3605505,-6.28446550135915
Ireland,Dublin,Dublin 8,53.350262900000004,-6.320212883866121
Ireland,Dublin,Dublin 9,53.3860497,-6.245577085317763
Italy,Rome,Municipio I,41.9034912,12.4528349
Italy,Rome,Municipio II,41.9056765,12.500712
Italy,Rome,Municipio III,41.9034912,12.4528349
Italy,Rome,Municipio IV,41.9333439,12.5987962
Italy,Rome,Municipio IX,41.9034912,12.4528349
Italy,Rome,Municipio V,42.07418105,12.901749441260165
Italy,Rome,Municipio VI,41.9034912,12.4528349
Italy,Rome,Municipio VII,41.854007249999995,12.57016111370225
Italy,Rome,Municipio VIII,41.9034912,12.4528349
Italy,Rome,Municipio X,42.07418105,12.901749441260165
Italy,Rome,Municipio XI,41.6092064,12.5453377
Italy,Rome,Municipio XII,42.0797744,12.400975963721226
Italy,Rome,Municipio XIII,41.9034912,12.4528349
Italy,Rome,Municipio XIV,41.9034912,12.4528349
Italy,Rome,Municipio XV,41.9034912,12.4528349
Latvia,Riga,Central District,None,None
Latvia,Riga,Kurzeme District,None,None
Latvia,Riga,Latgale Suburb,None,None
Latvia,Riga,Northern District,None,None
Latvia,Riga,Vidzeme Suburb,None,None
Latvia,Riga,Zemgale Suburb,None,None
Lithuania,Vilnius,Antakalnis,54.7056388,25.3145377
Lithuania,Vilnius,Fabijoniškės,54.7264112,25.2492422
Lithuania,Vilnius,Grigiškės,54.6744932,25.08908162551551
Lithuania,Vilnius,Justiniškės,54.71786,25.2202048
Lithuania,Vilnius,Karoliniškės,54.693085,25.2131579
Lithuania,Vilnius,Lazdynai,54.6760345,25.2099318
Lithuania,Vilnius,Naujamiestis,54.6809958,25.2651214
Lithuania,Vilnius,Naujininkai,54.6612223,25.2718256
Lithuania,Vilnius,Naujoji Vilnia,54.695211,25.4030535
Lithuania,Vilnius,Paneriai,54.7855528,24.9120123
Lithuania,Vilnius,Pašilaičiai,54.7284868,25.2289162
Lithuania,Vilnius,Pilaitė,54.7056763,25.1835024
Lithuania,Vilnius,Rasos,54.6689571,25.2986051
Lithuania,Vilnius,Senamiestis,54.6818728,25.2884035
Lithuania,Vilnius,Šeškinė,54.7126527,25.2522029
Lithuania,Vilnius,Šnipiškės,54.7017555,25.2785584
Lithuania,Vilnius,Verkiai,54.7506573,25.2947674
Lithuania,Vilnius,Vilkpėdė,54.666744,25.2437768
Lithuania,Vilnius,Viršuliškės,54.705351,25.228871
Lithuania,Vilnius,Žirmūnai,54.7111722,25.2988095
Lithuania,Vilnius,Žvėrynas,54.6946327,25.2510333
Luxembourg,Luxembourg,Beggen,49.642947500000005,6.129600237263739
Luxembourg,Luxembourg,Belair,49.61146575,6.1079235689560445
Luxembourg,Luxembourg,Cents,49.6163979,6.16210732397101
Luxembourg,Luxembourg,Cessange,49.58528975,6.095940820743934
Luxembourg,Luxembourg,Clausen,49.61441775,6.143084738242873
Luxembourg,Luxembourg,Dommeldange,49.6424054,6.143384627144911
Luxembourg,Luxembourg,Eich,49.63176085,6.134022977853395
Luxembourg,Luxembourg,Gare,49.601963749999996,6.130254991300048
Luxembourg,Luxembourg,Gasperich,49.5789669,6.118003878073413
Luxembourg,Luxembourg,Grund,49.6083109,6.137484935366912
Luxembourg,Luxembourg,Hamm,49.6109913,6.179343718378714
Luxembourg,Luxembourg,Hollerich,49.6021549,6.11611258532035
Luxembourg,Luxembourg,Kirchberg,49.6278334,6.1596669
Luxembourg,Luxembourg,Limpertsberg,49.620881499999996,6.119030701439998
Luxembourg,Luxembourg,Merl,49.600549900000004,6.091001011848574
Luxembourg,Luxembourg,Muhlenbach,49.637545349999996,6.115478109527048
Luxembourg,Luxembourg,Neudorf-Weimershof,49.6258873,6.170355877178916
Luxembourg,Luxembourg,North Bonnevoie-Verlorenkost,49.5999324,6.1352784
Luxembourg,Luxembourg,Pfaffenthal,49.6180407,6.1321718934878255
Luxembourg,Luxembourg,Pulvermuhl,49.607077450000006,6.150646119675934
Luxembourg,Luxembourg,Rollingergrund-North Belair,49.6138288,6.1190686
Luxembourg,Luxembourg,South Bonnevoie,49.59725085,6.144884432204399
Luxembourg,Luxembourg,Ville Haute,49.61156665,6.127099103680573
Luxembourg,Luxembourg,Weimerskirch,49.629609650000006,6.139541214418987
Malta,Valletta,Valletta,35.89480155,14.50858048159407
Netherlands,Amsterdam,Centrum,52.3737301,4.8956908
Netherlands,Amsterdam,Nieuw-West,52.3637773,4.8138122
Netherlands,Amsterdam,Noord,52.4017392,4.9153521
Netherlands,Amsterdam,Oost,52.3566078,4.9305774
Netherlands,Amsterdam,West,52.3766721,4.863724
Netherlands,Amsterdam,Westpoort,52.4114676,4.800573466659271
Netherlands,Amsterdam,Zuid,52.3444702,4.8786639
Netherlands,Amsterdam,Zuidoost,52.3105137,4.9606947
Poland,Warsaw,Bemowo,52.2389738,20.9132881
Poland,Warsaw,Białołęka,52.3196649,21.0211773
Poland,Warsaw,Bielany,52.2946518,20.9299804
Poland,Warsaw,Mokotów,52.1939874,21.0457809
Poland,Warsaw,Ochota,52.212225,20.9726299
